price,manufacturer,model,condition,cylinders,fuel,odometer,title_status,transmission,VIN,drive,type,paint_color,vehicle_age,estimate_msrp,predicted_price,gap_ratio,price_class
19995,ford,f150,excellent,8 cylinders,gas,91000.0,clean,automatic,1FTFX1CF0DFA73934,rwd,truck,silver,8.0,36745.0,20524.6,-0.02580318252243642,1
16995,ford,explorer,excellent,6 cylinders,gas,115144.0,clean,automatic,1FMHK7F85BGA33133,fwd,SUV,grey,10.0,38850.0,14603.17,0.1637884103246076,2
3750,hyundai,accent,good,4 cylinders,gas,105979.0,clean,automatic,KMHCN46C79U386697,fwd,sedan,custom,12.0,15000.0,4627.33,-0.18959745684876592,0
36990,lexus,rx350,excellent,6 cylinders,gas,19306.0,clean,automatic,2T2BZMCA8HC088867,4wd,SUV,white,4.0,42550.0,36250.13,0.020410133701589558,1
13500,porsche,boxster,excellent,6 cylinders,gas,122723.0,clean,automatic,WP0CB29845U730151,rwd,convertible,blue,16.0,57500.0,13069.61,0.03293059242012573,1
7000,toyota,highlander,excellent,6 cylinders,gas,108082.0,salvage,automatic,JTEDP21A460095117,fwd,SUV,red,15.0,28100.0,7037.03,-0.005262163156899963,1
4200,hyundai,santafelimitedawd,excellent,6 cylinders,gas,160000.0,clean,automatic,5NMSH73E57H046368,4wd,SUV,green,14.0,28800.0,4732.16,-0.11245604544225045,0
37995,ford,transit,excellent,6 cylinders,gas,32000.0,clean,automatic,1FTBR3X86LKA43875,rwd,van,white,1.0,41000.0,35661.68,0.06542933479297665,1
6995,chevrolet,cruze2lt,excellent,4 cylinders,gas,113110.0,clean,automatic,1G1PG5SC3C7318990,fwd,sedan,black,9.0,18500.0,6884.47,0.016054975909547103,1
13990,audi,a3,excellent,4 cylinders,gas,90864.0,clean,automatic,WAUACGFF0F1039669,fwd,sedan,black,6.0,31900.0,13841.29,0.010743940774306378,1
16400,honda,crv,excellent,4 cylinders,gas,131545.0,clean,automatic,5J6RM4H71FL047835,4wd,SUV,silver,6.0,30500.0,15404.14,0.06464885413921197,1
37990,toyota,tundradoublecabsr,good,8 cylinders,gas,22870.0,clean,other,5TFUM5F13GX069124,4wd,pickup,black,5.0,44900.0,37990.0,0.0,1
9995,chevrolet,traverse,good,6 cylinders,gas,112974.0,clean,automatic,1GNKRGEDXBJ366961,fwd,wagon,custom,10.0,30730.0,9742.81,0.025884729354262326,1
4750,subaru,legacyl,good,4 cylinders,gas,115661.0,clean,automatic,4S3BE635636212116,4wd,sedan,silver,18.0,19895.0,5534.12,-0.1416882900985161,0
14900,kia,sportage,excellent,4 cylinders,gas,75546.0,clean,automatic,KNDPBCAC0G7864373,4wd,SUV,grey,5.0,24800.0,14661.66,0.016256003754008763,1
33990,mercedes-benz,eclasse63amg,good,8 cylinders,gas,88107.0,clean,automatic,WDDHF7EB7CA570344,rwd,sedan,white,9.0,102000.0,33990.0,0.0,1
12999,hyundai,veloster,excellent,4 cylinders,gas,78554.0,clean,automatic,KMHTC6AD2FU239829,fwd,coupe,red,6.0,19700.0,12733.93,0.020816040295493984,1
22990,acura,rlxsedan4d,good,6 cylinders,gas,37367.0,clean,other,JH4KC1F54FC000615,fwd,sedan,silver,6.0,60500.0,23284.0,-0.012626696443909981,1
34590,chevrolet,silverado1500double,good,6 cylinders,gas,29499.0,clean,other,1GCVKREH6GZ228691,4wd,pickup,silver,5.0,39500.0,34574.0,0.0004627754960374848,1
10900,ford,f150,good,8 cylinders,gas,200066.0,clean,automatic,1FTFW1EV0AFD26723,4wd,truck,black,11.0,36500.0,10806.07,0.008692336806998316,1
29990,chevrolet,coloradoextendedcab,good,6 cylinders,gas,17302.0,clean,other,1GCHTCE37G1186784,4wd,pickup,red,5.0,35700.0,29990.0,0.0,1
23990,chevrolet,silverado3500classic,good,8 cylinders,gas,32853.0,clean,automatic,1GBJC34U87E120320,rwd,truck,white,14.0,36000.0,25093.86,-0.04398924677191953,1
34995,chevrolet,silverado1500,like new,8 cylinders,gas,87132.0,clean,automatic,3GCUKRECXFG497050,4wd,truck,black,6.0,39400.0,34857.12,0.0039555763643122945,1
